id,text,emojis,sticker_tags,label,split
475,This is useful. Could you also check the other part?,😄,gasp,polite,train
476,"Thanks, Got it. add a note",🙂,popcorn,polite,train
477,"Hello, your PR looks great. context",👏,slow-clap,polite,train
478,It would be careful if you can explain it ASAP. time,🤝,calendar,polite,train
479,"Can you review this after lunch, ? check",🥳,alarm,polite,train
480,"Thanks, Got it. ping me if stuck tone",😉,popcorn,polite,train
481,Understood. Let me know if you need help. nice,🤩,100,polite,test
482,I appreciate the change. again,🤩,mindblown,polite,train
483,Please explain the change next hour.,😌,hug,polite,val
484,"Thanks, Got it. we can sync later fine",😌,guitar,polite,train
485,This is clear. Could you also review the other part?,😊,target,polite,train
486,"Can you send this by EOD, please? check",👍,cry,polite,train
487,I appreciate the branch. wow,🎉,facepalm,polite,train
488,It would be thoughtful if you can check it today. check,🤦,medal,polite,train
489,It would be clear if you can explain it when you can. send,🙂,dart,polite,train
490,Please confirm the task ASAP. maybe,👏,boo,polite,val
491,"Thanks for the update, that was thoughtful. again",😊,link,polite,val
492,"I finished it; Understood, ping me if stuck. sarcasm",,boo,polite,val
493,Okay. Let me know if you need help. context,🙂,,polite,train
494,Please deploy the work now. thanks,🤦,star,polite,train
495,This is fine. Could you also explain the other part? firm,👏,hourglass,polite,train
496,Could you clarify this by EOD please? update,🙌,,polite,train
497,"Hey, your work looks fine. sarcasm",😉,ghost,polite,train
498,I appreciate the task. version,😌,wave,polite,train
499,I appreciate the doc. update,😉,ok-hand,polite,val
500,Makes sense. Let me know if you need help. okay,👍,thumbs-down,polite,train
501,This idea is confusing. make it right. gentle,💢,tears-of-joy,impolite,test
502,"Sure, thanks for nothing. sync",😒,huh,impolite,train
503,That work? messy. fix it.,🤦,gasp,impolite,train
504,"Amazing, confirm it tomorrow, obviously. okay",😏,thumbs-down,impolite,train
505,"Right, thanks for nothing.",😉,whistle,impolite,test
506,"Right, ship it tomorrow, obviously. clarify",✨,huh,impolite,train
507,"Wow, clarify it by EOD, obviously. clean",😡,alarm,impolite,train
508,That change? unacceptable. make it right.,😕,hearts,impolite,test
509,This idea is messy. do it properly. okay,😓,,impolite,train
510,This change is messy. do it properly.,😬,target,impolite,train
511,Sure. and do it properly. note,😒,wave,impolite,val
512,Why is this still not checked? firm,😤,ghost,impolite,train
513,"Nice, clean it by EOD, obviously.",💢,facepalm-hard,impolite,val
514,This ticket is unacceptable. clean it up.,😤,eyeroll-hard,impolite,val
515,Okay. and clean it up.,😡,rainbow,impolite,test
516,"Nice, thanks for nothing.",😐,sleepy,impolite,train
517,That work? careless. redo it. please,😡,cry,impolite,train
518,That change? rushed. fix it. explain,😤,100,impolite,train
519,This update is unacceptable. clean it up. sync,,wave,impolite,train
520,You reviewed it? Whatever. check the guide. version,😠,skull,impolite,train
521,That work? not great. do it properly. later,😑,whistle,impolite,test
522,"Nice, thanks for nothing.",😁,victory,impolite,train
523,That module? confusing. do it properly. thanks,,music,impolite,train
524,"Great, thanks for nothing.",😐,pray,impolite,train
525,"Wow, clean it now, obviously.",🤦,applause,impolite,train
526,"Nice, check it next hour, obviously. maybe",😠,wifi,impolite,train
527,That PR? unclear. make it right. sure,👎,boo,impolite,train
528,Yeah. and redo it. done,😕,trophy,impolite,train
529,Stop making it not great. clean it up.,😏,hearts,impolite,train
530,You clarified it? Okay. follow the template.,😐,skull,impolite,test
531,You deployed it? Fine. follow the template.,😁,yawn,impolite,train
532,Be serious. Redo it today. sarcasm,😕,,impolite,train
533,Be serious. Do it properly ASAP. fix,🤦,lock,impolite,test
534,That change? unacceptable. fix it. help,😤,camera,impolite,train
535,Why is this still not checked? clean,😑,salute,impolite,test
536,You redid it? Okay. read the doc.,😏,chart-down,impolite,train
537,This module is careless. clean it up. context,👏,angry,impolite,train
538,"Amazing, thanks for nothing. context",😁,wink,impolite,val
539,You sent it? Yeah. read the doc. really,🤦,wink,impolite,train
540,"Amazing, thanks for nothing.",,,impolite,train
541,"Right, thanks for nothing. fix",🙂,bell,impolite,train
542,Yeah. and do it again. gentle,🙄,,impolite,test
543,Okay. and clean it up. okay,👎,guitar,impolite,train
544,Be serious. Redo it today. sure,💢,thumbs-down,impolite,train
545,Be serious. Make it right ASAP. work,😐,,impolite,val
546,"Great, thanks for nothing.",,chart-down,impolite,train
547,This work is not great. do it properly. work,😒,boom,impolite,train
548,Stop making it confusing. do it again. firm,😁,neutral,impolite,train
549,"Nice, deploy it today, obviously.",😒,huh,impolite,train
550,"Amazing, thanks for nothing. version",😒,mic-drop,impolite,val
551,"Wow, update it ASAP, obviously. maybe",😏,lightbulb,impolite,train
552,You cleaned it? Okay. follow the template. stop,😒,nerd,impolite,train
553,Why is this still not redone? now,😬,check,impolite,val
554,This module is rushed. do it properly. already,😡,question,impolite,train
555,That doc? sloppy. redo it. firm,😐,hearts,impolite,train
556,Stop making it sloppy. do it again. wow,👎,bell,impolite,train
557,Stop making it confusing. redo it. now,😐,paperclip,impolite,train
558,"Amazing, review it now, obviously. okay",😤,hourglass,impolite,train
559,That update? rushed. do it again. sync,🤦,rainbow,impolite,train
560,This PR is rushed. clean it up. confirm,😐,chain,impolite,train
561,Be serious. Fix it when you can. deploy,😒,popcorn,impolite,val
562,You cleaned it? Fine. learn the process. help,😠,fire,impolite,train
563,That update? rushed. redo it. already,💢,yawn,impolite,test
564,Right. and do it again.,🙂,ok,impolite,test
565,That ticket? careless. do it properly.,💢,party,impolite,train
566,Okay. and clean it up.,😐,blush,impolite,test
567,Be serious. Do it properly after lunch. again,🙄,nerd,impolite,train
568,This doc is messy. do it properly. again,😏,,impolite,train
569,This doc is half-done. do it again.,😕,,impolite,train
570,"Great, thanks for nothing. fine",🤦,angry,impolite,train
571,Be serious. Do it properly ASAP. explain,😕,boo-hard,impolite,train
572,"Amazing, update it next hour, obviously.",😕,zzz,impolite,train
573,Stop making it rushed. do it again. detail,😓,salute,impolite,train
574,"Great, thanks for nothing.",😤,,impolite,train
575,That task? rushed. do it again. fix,😑,check,impolite,train
576,Okay. and fix it. stop,🤦,eyerub,impolite,test
577,Stop making it sloppy. redo it.,😠,,impolite,train
578,Be serious. Do it again after lunch. fix,😉,cheers,impolite,train
579,This work is not great. fix it. wow,🙄,slow-clap,impolite,test
580,"Nice, thanks for nothing. version",😉,zzz,impolite,train
581,Be serious. Make it right by EOD. work,😒,,impolite,train
582,That task? messy. fix it. stop,😓,,impolite,train
583,Why is this still not fixed?,👏,lightbulb,impolite,train
584,"Great, clarify it by EOD, obviously.",🙄,bulb,impolite,train
585,Right. and fix it.,😬,boo-hard,impolite,train
586,Why is this still not checked? firm,😬,eyeroll,impolite,train
587,Be serious. Do it properly ASAP.,😒,chart-up,impolite,train
588,Okay. and do it properly. please,💢,thumbs-up,impolite,train
589,This change is rushed. make it right. already,😒,,impolite,val
590,"Wow, check it today, obviously.",🙂,hearts,impolite,train
591,Stop making it rushed. redo it. nice,😠,chart-down,impolite,val
592,Why is this still not checked? help,😉,drum,impolite,train
593,"Nice, thanks for nothing.",👎,chain,impolite,train
594,Why is this still not deployed?,😏,eyeroll,impolite,train
595,"Wow, thanks for nothing. sync",😒,,impolite,train
596,"Amazing, update it by EOD, obviously.",👎,mic-drop,impolite,test
597,That branch? rushed. clean it up. explain,🤦,sweat,impolite,train
598,"Sure, thanks for nothing.",😡,lightbulb,impolite,train
599,Fine. and do it properly. tone,😕,cheers,impolite,train
600,You redid it? Right. read the doc. ship,😕,hearts,impolite,train
601,Why is this still not checked? explain,🙄,guitar,impolite,test
602,Be serious. Fix it before standup. really,,sleepy,impolite,train
603,Fine. and redo it. clarify,😤,link,impolite,train
604,Stop making it unacceptable. make it right.,😐,pointer,impolite,train
605,Be serious. Do it properly before standup. help,👍,sweat,impolite,train
606,That change? confusing. fix it. please,😬,100,impolite,val
607,This module is rushed. make it right.,💢,,impolite,train
608,This branch is careless. redo it.,😏,,impolite,train
609,That patch? confusing. redo it.,😑,,impolite,val
610,"Sure, thanks for nothing.",🤦,unlock,impolite,train
611,You explained it? Fine. follow the template. deploy,😐,eyerub,impolite,train
612,Be serious. Fix it now. clarify,💢,drum,impolite,train
613,You cleaned it? Sure. learn the process. idea,😏,blush,impolite,train
614,Be serious. Make it right tomorrow. thanks,✨,,impolite,test
615,That idea? unclear. make it right.,😠,check,impolite,val
616,Be serious. Fix it after lunch.,😐,,impolite,train
617,That ticket? confusing. do it again.,💢,medal,impolite,train
618,That task? half-done. clean it up. sync,👎,,impolite,train
619,This task is careless. do it properly. done,💢,shrug,impolite,train
620,This task is unclear. do it again. great,👏,question,impolite,val
621,Stop making it careless. make it right.,😉,rainbow,impolite,train
622,That change? messy. do it properly. help,😕,salute,impolite,test
623,This change is careless. do it properly.,😐,mindblown,impolite,train
624,Why is this still not finished?,😓,rainbow,impolite,train
625,Stop making it half-done. do it again. review,🙂,cross,impolite,test
626,Be serious. Make it right tomorrow. wow,✨,key,impolite,train
627,Stop making it confusing. make it right.,😬,skull,impolite,val
628,"Sure, review it when you can, obviously.",😤,applause,impolite,train
629,Why is this still not cleaned?,😐,guitar,impolite,val
630,That work? rushed. do it again. fix,😬,bicep,impolite,train
631,Stop making it half-done. do it again.,😡,music,impolite,test
632,This ticket is messy. do it again.,😠,slow-clap,impolite,test
633,Right. and do it again.,😓,cry,impolite,test
634,This change is messy. do it again. update,🤦,rocket,impolite,test
635,Okay. and redo it. send,😡,cross,impolite,test
636,This change is half-done. do it properly. fine,🤦,skull,impolite,train
637,Why is this still not deployed?,🤦,chart-up,impolite,train
638,"Amazing, deploy it now, obviously. now",😕,boo-hard,impolite,train
639,Be serious. Clean it up ASAP.,😐,,impolite,train
640,Why is this still not explained? sure,😤,applause,impolite,train
641,Why is this still not redone? review,🙄,alarm,impolite,test
642,Why is this still not clarified? redo,😕,note,impolite,test
643,"Sure, thanks for nothing. really",😉,neutral,impolite,test
644,Sure. and make it right.,😑,,impolite,train
645,Be serious. Redo it next hour. okay,👎,,impolite,val
646,Stop making it unacceptable. fix it.,😕,guitar,impolite,train
647,"Wow, explain it tomorrow, obviously. ping",😓,applause,impolite,train
648,Stop making it unacceptable. do it properly. really,😐,rocket,impolite,train
649,"Great, thanks for nothing. help",😏,tears-of-joy,impolite,train
650,Why is this still not fixed? deploy,😏,unlock,impolite,train
651,You clarified it? Yeah. read the doc. now,😕,satellite,impolite,test
652,Be serious. Do it properly soon. great,😑,tada,impolite,train
653,"Right, explain it when you can, obviously. deploy",😤,slow-clap,impolite,train
654,Be serious. Do it again tomorrow.,😠,party-popper,impolite,test
655,Be serious. Fix it next hour.,🤦,satellite,impolite,train
656,This work is confusing. do it properly.,😬,,impolite,train
657,Fine. and make it right. help,😬,salute,impolite,train
658,Stop making it half-done. do it again. great,😕,sleepy,impolite,train
659,You finished it? Okay. try again properly.,🤦,ghost,impolite,test
660,This report is careless. fix it. sarcasm,😤,check,impolite,train
661,Stop making it not great. redo it. review,😬,,impolite,test
662,You updated it? Yeah. follow the template. fix,,angry,impolite,train
663,"Right, thanks for nothing. clarify",😠,,impolite,val
664,Why is this still not fixed?,😡,,impolite,train
665,Stop making it half-done. make it right. ship,👏,wave,impolite,test
666,Stop making it unclear. fix it. already,😑,antenna,impolite,val
667,This work is not great. do it properly. context,😐,,impolite,train
668,Whatever. and clean it up. send,🙂,,impolite,train
669,Be serious. Redo it ASAP.,🤦,chart-down,impolite,train
670,Stop making it messy. clean it up. note,👍,popcorn,impolite,test
671,"Nice, explain it soon, obviously.",🙄,explode,impolite,train
672,Why is this still not updated?,😐,shrug,impolite,train
673,Be serious. Make it right after lunch. version,😠,slow-clap,impolite,val
674,Why is this still not checked?,😑,neutral,impolite,train
675,"Right, thanks for nothing.",😬,facepalm-hard,impolite,test
676,That change? unclear. fix it. firm,😬,trophy,impolite,val
677,Be serious. Make it right before standup. context,😓,,impolite,val
678,That change? unacceptable. make it right. nice,😐,pointer,impolite,train
679,Stop making it unacceptable. redo it. sync,🤦,sleepy,impolite,train
680,Whatever. and redo it. stop,😕,,impolite,test
681,This report is confusing. make it right.,😠,sigh,impolite,train
682,Be serious. Do it properly soon. maybe,😉,boom-hard,impolite,test
683,You checked it? Whatever. check the guide. now,😏,cry,impolite,val
684,"Right, finish it ASAP, obviously. nice",😕,hourglass,impolite,train
685,Why is this still not explained? confirm,💢,star2,impolite,train
686,"Wow, thanks for nothing. sarcasm",👍,,impolite,train
687,Why is this still not redone? nice,😬,salute,impolite,test
688,"Sure, deploy it tomorrow, obviously.",😒,star2,impolite,train
689,Why is this still not reviewed?,😐,thumbs-up,impolite,test
690,Right. and make it right. time,😠,gasp,impolite,train
691,You explained it? Right. follow the template. confirm,✨,,impolite,val
692,Whatever. and fix it. ping,😤,trophy,impolite,val
693,This ticket is rushed. do it again. clarify,😡,clap,impolite,train
694,That doc? not great. clean it up. note,😐,satellite,impolite,train
695,Stop making it careless. do it again. really,😁,,impolite,val
696,"Right, thanks for nothing.",😤,boom-hard,impolite,test
697,That idea? rushed. clean it up.,🙄,boom,impolite,train
698,This doc is messy. make it right. note,😏,,impolite,train
699,Why is this still not deployed? again,😬,boo-hard,impolite,train
700,This work is half-done. redo it.,😒,huh,impolite,train
701,That ticket? unacceptable. do it again. deploy,😕,nerd,impolite,train
702,"Wow, clean it today, obviously. done",😤,boo,impolite,val
703,"Sure, clarify it now, obviously. deploy",😏,yawn,impolite,train
704,Stop making it unacceptable. do it properly. okay,😏,eyerub,impolite,train
705,This doc is unclear. do it properly. maybe,😐,eyeroll,impolite,train
706,This PR is confusing. clean it up. check,😓,lock,impolite,val
707,Okay. and redo it. help,😤,cheers,impolite,val
708,"Amazing, clarify it before standup, obviously. redo",💢,,impolite,train
709,Stop making it rushed. clean it up. review,😕,sweat,impolite,train
710,This idea is half-done. fix it. nice,😠,sunglasses,impolite,val
711,Why is this still not fixed? ship,,huh,impolite,train
712,"Right, thanks for nothing. confirm",✨,pointer,impolite,train
713,Yeah. and fix it. explain,😕,zzz,impolite,test
714,Why is this still not cleaned? clarify,🙄,zzz,impolite,train
715,Stop making it unacceptable. redo it. note,,note,impolite,test
716,"Sure, finish it now, obviously.",💢,hourglass,impolite,train
717,This ticket is not great. do it properly.,😕,,impolite,train
718,Be serious. Make it right today. maybe,😐,shrug,impolite,val
719,Be serious. Redo it ASAP. fix,🙄,nerd,impolite,test
720,Be serious. Redo it now. idea,😤,eyeroll-hard,impolite,train
721,Be serious. Make it right next hour.,😐,zzz,impolite,val
722,You explained it? Right. learn the process. clarify,💢,pointer,impolite,train
723,Okay. and redo it.,😬,,impolite,train
724,"Sure, thanks for nothing.",😕,trophy,impolite,train
725,"Right, thanks for nothing. already",😬,sweat,impolite,train
726,Right. and clean it up. tone,😠,,impolite,test
727,"Nice, send it after lunch, obviously. now",😒,wink,impolite,train
728,"Nice, thanks for nothing.",🙄,nerd,impolite,train
729,Why is this still not redone? thanks,,,impolite,train
730,You finished it? Right. slow down and think. nice,🙂,coffee,impolite,train
731,"Nice, thanks for nothing. context",😤,hearts,impolite,train
732,You finished it? Yeah. read the doc. clean,😤,calendar,impolite,test
733,That work? messy. fix it. clarify,😏,,impolite,train
734,Why is this still not sent? time,😓,hug,impolite,train
735,Yeah. and fix it. firm,😐,,impolite,train
736,Stop making it rushed. make it right.,😕,grimace,impolite,train
737,"Wow, update it when you can, obviously. help",🤦,key,impolite,test
738,You cleaned it? Okay. slow down and think. check,😡,,impolite,train
739,This change is half-done. clean it up. send,😤,wink,impolite,train
740,You checked it? Right. slow down and think.,😐,,impolite,train
741,Be serious. Redo it by EOD. tone,😏,,impolite,train
742,Why is this still not checked? idea,🤦,,impolite,train
743,You deployed it? Whatever. check the guide.,,medal,impolite,val
744,That patch? messy. make it right.,😡,unlock,impolite,train
745,Be serious. Do it properly ASAP. okay,😒,blush,impolite,train
746,Be serious. Clean it up after lunch. gentle,👍,hmm,impolite,train
747,Okay. and do it properly. redo,😤,calendar,impolite,val
748,Be serious. Clean it up soon. gentle,😉,explode,impolite,train
749,You deployed it? Okay. follow the template. time,😐,unlock,impolite,train
750,"Nice, deploy it today, obviously. explain",😐,cross,impolite,val
751,"Right, thanks for nothing. update",,question,impolite,train
752,"Sure, thanks for nothing. time",😒,,impolite,test
753,That branch? not great. make it right.,🙄,huh,impolite,train
754,Be serious. Fix it ASAP. sync,😏,,impolite,val
755,That ticket? confusing. fix it.,😐,thumbs-side,impolite,train
756,"Great, thanks for nothing. version",✨,mindblown,impolite,val
757,This change is messy. clean it up. fix,👍,chain,impolite,train
758,That PR? rushed. make it right.,😓,tada,impolite,train
759,That report? sloppy. clean it up. clean,😓,,impolite,test
760,"Amazing, update it today, obviously. okay",😏,eyeroll,impolite,train
761,"Right, finish it tomorrow, obviously. stop",😕,note,impolite,train
762,Fine. and clean it up.,😏,question,impolite,train
763,Okay. and make it right. check,😤,,impolite,train
764,Yeah. and fix it. explain,👏,100,impolite,test
765,Why is this still not checked? nice,😑,rainbow,impolite,test
766,Stop making it unacceptable. clean it up. explain,😏,shrug,impolite,val
767,This PR is unclear. do it properly. fix,😑,eyeroll-hard,impolite,train
768,That change? rushed. make it right. check,👏,explode,impolite,test
769,This work is half-done. make it right. clarify,😓,chip,impolite,train
770,"Sure, send it today, obviously.",😬,dart,impolite,val
771,Stop making it confusing. fix it.,😒,,impolite,test
772,You fixed it? Whatever. learn the process. redo,😐,ok-hand,impolite,train
773,This work is not great. fix it. later,,battery,impolite,val
774,That task? unacceptable. make it right. sync,😓,tada,impolite,train
775,That ticket? unclear. make it right. help,😤,camera,impolite,train
776,You deployed it? Sure. try again properly. ship,😐,exclamation,impolite,test
777,Okay. and clean it up. version,😤,battery,impolite,train
778,You clarified it? Whatever. slow down and think. maybe,🤦,bulb,impolite,train
779,Why is this still not deployed?,👏,camera,impolite,train
780,"Sure, thanks for nothing.",🤦,salute,impolite,train
781,This ticket is careless. do it again.,🙄,lock,impolite,train
782,Be serious. Do it properly after lunch. nice,🤦,target,impolite,train
783,Stop making it unclear. fix it. fine,🤦,unlock,impolite,train
784,That report? sloppy. make it right. thanks,,,impolite,train
785,"Right, finish it tomorrow, obviously. nice",😓,video,impolite,train
786,Whatever. and do it properly.,👏,hmm,impolite,train
787,Be serious. Fix it when you can. maybe,,,impolite,train
788,Stop making it half-done. do it properly.,😓,sleepy,impolite,train
789,"Great, deploy it after lunch, obviously. time",😐,rainbow,impolite,train
790,Okay. and make it right. okay,👎,plug,impolite,train
791,"Great, thanks for nothing. note",,,impolite,train
792,Why is this still not redone? review,😠,,impolite,test
793,That update? sloppy. do it again. context,😑,sweat,impolite,train
794,Stop making it careless. do it again. update,👏,bell,impolite,test
795,You sent it? Yeah. slow down and think. idea,😕,,impolite,train
796,"Sure, thanks for nothing. again",🙄,gasp,impolite,val
797,"Right, explain it next hour, obviously. sync",👎,,impolite,train
798,"Great, review it soon, obviously.",😡,victory,impolite,train
799,Fine. and redo it.,😉,eyerub,impolite,train
800,This patch is rushed. clean it up.,,nerd,impolite,train
801,Why is this still not clarified? okay,😒,ghost,impolite,val
802,This PR is unclear. redo it. already,😬,wifi,impolite,train
803,That change? not great. clean it up. sync,😏,battery,impolite,train
804,This PR is unclear. fix it. idea,✨,,impolite,train
805,That ticket? not great. fix it. version,💢,grimace,impolite,train
806,Be serious. Redo it when you can. fix,😤,nerd,impolite,train
807,Be serious. Redo it by EOD. wow,👎,music,impolite,train
808,"Amazing, send it next hour, obviously. note",😏,whistle,impolite,train
809,That work? confusing. do it again. check,😡,paperclip,impolite,train
810,Okay. and redo it.,😠,dart,impolite,train
811,Right. and clean it up. context,😡,mindblown,impolite,train
812,Sure. and clean it up. clean,😒,boo,impolite,train
813,Sure. and fix it. review,😐,cross,impolite,val
814,"Great, thanks for nothing.",🙄,chain,impolite,train
815,That idea? confusing. redo it. stop,😓,lock,impolite,train
816,That patch? unacceptable. redo it.,,exclamation,impolite,train
817,"Nice, thanks for nothing.",😁,ok,impolite,train
818,Stop making it careless. clean it up. maybe,👎,whistle,impolite,train
819,Stop making it confusing. clean it up. nice,😐,trophy,impolite,train
820,This branch is messy. clean it up.,😡,ghost,impolite,train
821,Be serious. Do it again today.,😑,mindblown,impolite,train
822,That update? confusing. do it again. detail,😏,,impolite,train
823,"Nice, clarify it after lunch, obviously.",👍,rocket,impolite,train
824,This update is careless. fix it.,😡,,impolite,train
825,That patch? rushed. clean it up. sync,😬,battery,impolite,val
826,"Wow, thanks for nothing. update",😕,coffee,impolite,test
827,Why is this still not finished?,🙄,alarm,impolite,train
828,Fine. and make it right. send,😒,boo-hard,impolite,val
829,This patch is rushed. do it properly. help,🙄,,impolite,test
830,Stop making it unacceptable. make it right. now,😐,,impolite,val
831,Okay. and do it properly. sure,💢,gasp,impolite,train
832,Be serious. Do it properly soon. check,😐,neutral,impolite,train
833,Stop making it sloppy. do it again. wow,😕,tears-of-joy,impolite,train
834,Fine. and redo it. fix,😁,pointer,impolite,test
835,That work? not great. do it again.,😬,,impolite,train
836,This doc is unacceptable. redo it.,😁,boo,impolite,train
837,That patch? unacceptable. do it properly.,😐,star2,impolite,train
838,"Right, finish it next hour, obviously.",🙄,key,impolite,val
839,That ticket? not great. clean it up. confirm,💢,nerd,impolite,train
840,Whatever. and make it right. deploy,👍,,impolite,train
841,This doc is unclear. fix it. time,😑,,impolite,train
842,This doc is unclear. fix it. help,😕,blush,impolite,train
843,"Right, thanks for nothing. okay",🙂,,impolite,train
844,"Nice, thanks for nothing.",👎,,impolite,train
845,Whatever. and do it again.,😤,salute,impolite,train
846,That change? messy. redo it. fine,😐,key,impolite,train
847,Fine. and fix it.,😏,,impolite,train
848,This ticket is rushed. make it right.,😐,video,impolite,test
849,Why is this still not deployed? clean,,facepalm-hard,impolite,train
850,Why is this still not explained? gentle,😉,neutral,impolite,test
851,That idea? not great. redo it.,✨,,impolite,train
852,This idea is unacceptable. do it properly.,👎,dart,impolite,val
853,"Wow, deploy it next hour, obviously.",,chip,impolite,val
854,Stop making it unclear. make it right. done,👎,hmm,impolite,test
855,"Wow, thanks for nothing. deploy",😬,unlock,impolite,train
856,"Wow, thanks for nothing. ship",😠,,impolite,train
857,This branch is unclear. do it again. ship,👎,skull,impolite,train
858,Why is this still not fixed? detail,🙄,salute,impolite,train
859,You updated it? Fine. check the guide. idea,👍,key,impolite,train
860,You sent it? Yeah. check the guide. update,💢,guitar,impolite,val
861,Sure. and do it properly. version,🤦,trophy,impolite,train
862,This PR is unclear. redo it.,😐,slow-clap,impolite,val
863,Why is this still not finished? great,👍,idea,impolite,train
864,That report? messy. do it again. deploy,😬,nerd,impolite,val
865,Right. and clean it up. time,,pinch,impolite,train
866,Be serious. Do it again ASAP. context,😤,,impolite,val
867,You updated it? Sure. try again properly.,👍,tea,impolite,train
868,"Amazing, review it by EOD, obviously. context",👍,victory,impolite,test
869,Fine. and clean it up. help,😐,glow,impolite,train
870,Why is this still not checked? redo,🤦,spark,impolite,val
871,This idea is rushed. make it right.,😐,boo-hard,impolite,train
872,Stop making it unacceptable. do it again. wow,😒,,impolite,val
873,This idea is careless. redo it.,😬,,impolite,train
874,"Sure, clarify it tomorrow, obviously. sync",😓,,impolite,test
875,Stop making it messy. clean it up.,😁,bicep,impolite,train
876,You explained it? Okay. slow down and think. sync,👎,tears-of-joy,impolite,train
877,Stop making it unclear. make it right. gentle,,tears-of-joy,impolite,train
878,This PR is sloppy. make it right.,💢,zzz,impolite,train
879,This patch is unclear. do it properly.,😑,wifi,impolite,val
880,You deployed it? Yeah. read the doc.,✨,thumbs-side,impolite,train
881,Right. and fix it.,👎,mic-drop,impolite,train
882,Okay. and fix it.,😕,battery,impolite,train
883,Be serious. Make it right by EOD.,🙂,drum,impolite,val
884,You clarified it? Okay. learn the process. really,🙄,exclamation,impolite,train
885,Stop making it messy. do it properly. note,😒,,impolite,val
886,Be serious. Redo it soon.,😕,boom-hard,impolite,train
887,Fine. and fix it. firm,🙄,lightbulb,impolite,train
888,"Wow, update it tomorrow, obviously. done",🙄,salute,impolite,train
889,Why is this still not explained? stop,,applause,impolite,test
890,"Wow, thanks for nothing. clean",👏,paperclip,impolite,train
891,Be serious. Do it properly today. update,😬,,impolite,train
892,Why is this still not reviewed? already,👍,camera,impolite,train
893,Why is this still not fixed? time,🙄,target,impolite,train
894,Be serious. Fix it when you can. maybe,😏,lightbulb,impolite,train
895,Stop making it half-done. clean it up. redo,😏,calendar,impolite,train
896,"Wow, check it when you can, obviously. gentle",😑,key,impolite,train
897,"Sure, clarify it when you can, obviously.",😡,lock,impolite,test
898,"Right, thanks for nothing. detail",👎,popcorn,impolite,train
899,Sure. and redo it. tone,🙄,pinch,impolite,train
900,"Wow, confirm it today, obviously. context",😕,hearts,impolite,val
901,Be serious. Redo it after lunch. confirm,😒,ok,impolite,train
902,Right. and do it again. confirm,😏,,impolite,val
903,You sent it? Okay. check the guide.,💢,slow-clap,impolite,train
904,That task? unclear. fix it.,🤦,,impolite,train
905,Be serious. Redo it ASAP. check,😠,bulb,impolite,train
906,Stop making it confusing. make it right.,😓,,impolite,val
907,"Sure, thanks for nothing.",😬,sigh,impolite,train
908,Be serious. Make it right ASAP. send,👏,pinch,impolite,train
909,Whatever. and do it properly. stop,😑,,impolite,val
910,Sure. and do it again.,😓,gasp,impolite,train
911,Why is this still not reviewed? idea,😒,grimace,impolite,train
912,This update is unclear. clean it up.,😑,rocket,impolite,test
913,Stop making it not great. redo it.,😬,fire,impolite,train
914,Why is this still not redone?,🙄,star2,impolite,train
915,That PR? messy. clean it up. confirm,😐,tea,impolite,train
916,This work is messy. redo it. sync,😓,lock,impolite,train
917,Be serious. Redo it ASAP. clean,😕,antenna,impolite,train
918,You reviewed it? Yeah. follow the template.,🤦,,impolite,val
919,This work is careless. make it right.,💢,eyeroll-hard,impolite,test
920,This change is not great. redo it.,😬,bicep,impolite,train
921,"Right, thanks for nothing. sarcasm",😕,chart-up,impolite,val
922,You sent it? Whatever. slow down and think. update,😤,angry,impolite,train
923,You cleaned it? Sure. check the guide. now,😑,facepalm,impolite,val
924,"Amazing, clarify it before standup, obviously. great",😡,link,impolite,train
925,"Great, thanks for nothing. work",🙄,music,impolite,test
926,Stop making it rushed. do it properly. wow,,boom,impolite,train
927,This work is unacceptable. do it properly. okay,😏,hug,impolite,train
928,"Wow, thanks for nothing. review",👎,chart-down,impolite,test
929,You redid it? Right. read the doc. ship,,nerd,impolite,train
930,You fixed it? Whatever. slow down and think.,😡,alarm,impolite,train
931,Why is this still not finished? review,😁,neutral,impolite,train
932,Be serious. Do it properly tomorrow. check,😡,key,impolite,train
933,Why is this still not redone? check,😓,blush,impolite,train
934,Why is this still not updated? firm,🤦,chart-down,impolite,train
935,Be serious. Do it properly tomorrow. clarify,,slow-clap,impolite,train
936,Sure. and fix it. help,😕,note,impolite,train
937,"Nice, thanks for nothing. done",😐,drum,impolite,train
938,Why is this still not redone?,😬,pinch,impolite,train
939,Fine. and clean it up. wow,💢,pinch,impolite,train
940,"Sure, redo it next hour, obviously. version",👎,glow,impolite,train
941,This change is not great. clean it up. redo,😑,,impolite,test
942,You explained it? Fine. try again properly. now,😒,popcorn,impolite,train
943,This report is messy. do it again.,😓,pointer,impolite,train
944,That change? sloppy. make it right. thanks,🙄,bicep,impolite,train
945,Be serious. Fix it now.,😁,question,impolite,train
946,Why is this still not checked? sync,😕,blush,impolite,val
947,That report? half-done. make it right.,😁,star,impolite,val
948,Stop making it careless. redo it. later,🙄,link,impolite,train
949,Right. and clean it up.,👎,ghost,impolite,train
950,You updated it? Okay. slow down and think.,😕,popcorn,impolite,train
951,Why is this still not fixed? great,🙄,boom,impolite,train
952,You cleaned it? Yeah. try again properly. later,😤,sweat,impolite,val
953,Why is this still not redone? great,😠,tea,impolite,train
